title,salary,location,employer,employer_rating,summary,search_city,search_role
Data Analyst,,"Austin, TX 78751 (Hyde Park area)+2 locations",Dept of Family & Protectve Svc,3.3,"Explain data and analysis in a way that is understandable to those with limited data knowledge or experience.
Ability to travel (up to 5%).",Austin,data analyst
Business Analyst 2-Ops,,"Austin, TX 78741 (Riverside area)",Oracle,3.8,"Ability to collect, organize, and display data in spreadsheet format.
Follow-through skills necessary to get information from internal and third parties and…",Austin,data analyst
"Data Analyst, Smb",,"Austin, TX 78745",TikTok,3.5,"Experience with a data visualization tool (e.g. Tableau);
You will assist in the development of SMB business metrics, data structures and analytical frameworks…",Austin,data analyst
Senior Program Manager And Data Analyst,,"Austin, TX 78741 (Riverside area)",Oracle,3.8,"5 years of project management, product design or related experience preferred.
Manage the development and implementation process of a specific company product…",Austin,data analyst
Data Analyst,,"Austin, TX 78702 (Rosewood area)•Remote work available",Allied Universal,3.2,"Interpret data and clearly communicate analysis.
As a Data Analyst, you will work alongside the legal department to analyze large data sheets to assist in…",Austin,data analyst
Data Analyst,,"Austin, TX•Remote",eBay Inc.,3.9,Having Experience developing Tableau dashboards with a deep understanding of associated data architecture trade-offs will be key.,Austin,data analyst
,,"Austin, TX 78701 (Downtown area)",DEPARTMENT OF INFORMATION RESOURCES,4.5,"Assists in developing data quality measures, analyzing data quality results, and implementing necessary changes to ensure data quality improvement, may…",Austin,data analyst
,,"Austin, TX",Visa,3.9,"Travel Requirements: This position requires travel 5-10% of the time.
The Associate Service Analyst will be responsible for analyzing and processing requests…",Austin,data analyst
,,"Austin, TX 78701 (Downtown area)+1 location",TEXAS EDUCATION AGENCY,3.7,"Advanced Excel knowledge with expertise in data analysis functions.
Travel: Yes, 5 % of the Time.
Experience with data visualization tools like Power BI,…",Austin,data analyst
Analyst-Data,,"Leander, TX 78641•Remote",Ascension,3.6,"Proficient with Microsoft Excel/Google Sheets for data analytics (pivot tables, advanced formulas, Vlookups, etc.).",Austin,data analyst
Data Analyst (00019926),,"Austin, TX 78701 (Downtown area)",Texas Department of Insurance,3.9,"The L&H Data Services Team conducts data analysis, collects information through data calls and surveys, produces data compilations, and conducts special…",Austin,data analyst
,,"Austin, TX 78744 (Southeast area)",Texas Department of Insurance,3.9,"We regulate the insurance industry, administer the Texas workers’ compensation system, and educate and protect consumers.
96 hours of accrued vacation a year.",Austin,data analyst
,,"Austin, TX 78703 (Downtown area)",Whole Foods Market,3.7,"Assesses data quality, troubleshoots data anomalies and coding errors, maintaining data and reporting integrity.",Austin,data analyst
Data Analyst,,"Austin, TX 78754",Samsung Electronics,4.0,Leverage big data and strong statistical analysis skills to validate initial findings from data science applications and provide recommendations for…,Austin,data analyst
,,"Austin, TX (Downtown area)",Texas Department of Insurance,3.9,Conducts complex research and analysis activities using multiple data points to identify and evaluate patterns and trends of regulatory non-compliance in the…,Austin,data analyst
,,"Austin, TX",General Motors,4.0,"Proficient in one or more analytical methodologies such as numerical optimization, econometric modeling and forecasting, machine learning and text analytics.",Austin,data scientist
,,"Austin, TX•Remote","O'Neil Global Advisors, Inc.",,"Advanced skill with data science topics such as machine learning, data mining, statistics, and classification.
Teach and mentor junior team members.",Austin,data scientist
